"short_rep_motif"	"rep_motif"	"max"	"avg_exp"	"color"	"other_clust_motifs"
"ZBTB12.Zf."	"ZBTB12.Zf..HEK293.ZBTB12.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"ZNF264.Zf."	"ZNF264.Zf..HEK293.ZNF264.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"CTCF.SatelliteElement.Zf.."	"CTCF.SatelliteElement.Zf...CD4..CTCF.ChIP.Seq.Barski_et_al...Homer"	""	""	"lightyellow"	""
"GLI3.Zf."	"GLI3.Zf..Limb.GLI3.ChIP.Chip.GSE11077..Homer"	""	""	"lightyellow"	""
"RBPJ.Ebox...bHLH."	"RBPJ.Ebox...bHLH..Panc1.Rbpj1.ChIP.Seq.GSE47459..Homer"	""	""	"lightyellow"	""
"ZNF317.Zf."	"ZNF317.Zf..HEK293.ZNF317.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"E2A.bHLH..near_PU.1"	"E2A.bHLH..near_PU.1.Bcell.PU.1.ChIP.Seq.GSE21512..Homer"	""	""	"lightyellow"	""
"NF1.FOXA1.CTF.Forkhead."	"NF1.FOXA1.CTF.Forkhead..LNCAP.FOXA1.ChIP.Seq.GSE27824..Homer"	""	""	"lightyellow"	""
"ZFP3.Zf."	"ZFP3.Zf..HEK293.ZFP3.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"FXR.NR..IR1"	"FXR.NR..IR1.Liver.FXR.ChIP.Seq.Chong_et_al...Homer"	""	""	"lightyellow"	""
"LRF.Zf."	"LRF.Zf..Erythroblasts.ZBTB7A.ChIP.Seq.GSE74977..Homer"	""	""	"lightyellow"	""
"RAR.RXR.NR..DR5.ES.RAR.ChIP.Seq.GSE56893..18"	"RAR.RXR.NR..DR5.ES.RAR.ChIP.Seq.GSE56893..18"	""	""	"lightyellow"	""
"ZEB1.Zf."	"ZEB1.Zf..PDAC.ZEB1.ChIP.Seq.GSE64557..Homer"	""	""	"lightyellow"	""
"ZNF692.Zf."	"ZNF692.Zf..HEK293.ZNF692.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"Slug.Zf."	"Slug.Zf..Mesoderm.Snai2.ChIP.Seq.GSE61475..Homer"	""	""	"lightyellow"	""
"Pitx1.Ebox.Homeobox.bHLH."	"Pitx1.Ebox.Homeobox.bHLH..Hindlimb.Pitx1.ChIP.Seq.GSE41591..Homer"	""	""	"lightyellow"	""
"Hand2.bHLH."	"Hand2.bHLH..Mesoderm.Hand2.ChIP.Seq.GSE61475..Homer"	""	""	"lightyellow"	""
"ZNF41.Zf."	"ZNF41.Zf..HEK293.ZNF41.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"Gfi1b.Zf."	"Gfi1b.Zf..HPC7.Gfi1b.ChIP.Seq.GSE22178..Homer"	""	""	"lightyellow"	""
"FOXA1.AR.Forkhead.NR."	"FOXA1.AR.Forkhead.NR..LNCAP.AR.ChIP.Seq.GSE27824..Homer"	""	""	"lightyellow"	""
"Oct4.Sox17.POU.Homeobox.HMG."	"Oct4.Sox17.POU.Homeobox.HMG..F9.Sox17.ChIP.Seq.GSE44553..Homer"	""	""	"lightyellow"	""
"GATA.SCL.Zf.bHLH."	"GATA.SCL.Zf.bHLH..Ter119.SCL.ChIP.Seq.GSE18720..Homer"	""	""	"lightyellow"	""
"ETS.E.box.ETS.bHLH."	"ETS.E.box.ETS.bHLH..HPC7.Scl.ChIP.Seq.GSE22178..Homer"	""	""	"lightyellow"	""
"GATA.Zf..IR3"	"GATA.Zf..IR3.iTreg.Gata3.ChIP.Seq.GSE20898..Homer"	""	""	"lightyellow"	""
"Tbox.Smad.T.box.MAD."	"Tbox.Smad.T.box.MAD..ESCd5.Smad2_3.ChIP.Seq.GSE29422..Homer"	""	""	"lightyellow"	""
"ZNF16.Zf."	"ZNF16.Zf..HEK293.ZNF16.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"YY1.Zf."	"YY1.Zf..Promoter.Homer"	""	""	"lightyellow"	""
"GATA.Zf..IR4"	"GATA.Zf..IR4.iTreg.Gata3.ChIP.Seq.GSE20898..Homer"	""	""	"lightyellow"	""
"COUP.TFII.NR."	"COUP.TFII.NR..Artia.Nr2f2.ChIP.Seq.GSE46497..Homer"	""	""	"lightyellow"	""
"RORgt.NR."	"RORgt.NR..EL4.RORgt.Flag.ChIP.Seq.GSE56019..Homer"	""	""	"lightyellow"	""
"ZNF416.Zf."	"ZNF416.Zf..HEK293.ZNF416.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"ZNF519.Zf."	"ZNF519.Zf..HEK293.ZNF519.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"Maz.Zf."	"Maz.Zf..HepG2.Maz.ChIP.Seq.GSE31477..Homer"	""	""	"lightyellow"	""
"PAX5.Paired.Homeobox..condensed"	"PAX5.Paired.Homeobox..condensed.GM12878.PAX5.ChIP.Seq.GSE32465..Homer"	""	""	"lightyellow"	""
"IRF4.IRF."	"IRF4.IRF..GM12878.IRF4.ChIP.Seq.GSE32465..Homer"	""	""	"lightyellow"	""
"Reverb.NR..DR2"	"Reverb.NR..DR2.RAW.Reverba.biotin.ChIP.Seq.GSE45914..Homer"	""	""	"lightyellow"	""
"GATA3.Zf..DR8"	"GATA3.Zf..DR8.iTreg.Gata3.ChIP.Seq.GSE20898..Homer"	""	""	"lightyellow"	""
"Arnt.Ahr.bHLH."	"Arnt.Ahr.bHLH..MCF7.Arnt.ChIP.Seq.Lo_et_al...Homer"	""	""	"lightyellow"	""
"ETS.RUNX.ETS.Runt."	"ETS.RUNX.ETS.Runt..Jurkat.RUNX1.ChIP.Seq.GSE17954..Homer"	""	""	"lightyellow"	""
"TATA.Box.TBP."	"TATA.Box.TBP..Promoter.Homer"	""	""	"lightyellow"	""
"ZNF669.Zf."	"ZNF669.Zf..HEK293.ZNF669.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"EWS.ERG.fusion.ETS."	"EWS.ERG.fusion.ETS..CADO_ES1.EWS.ERG.ChIP.Seq.SRA014231..Homer"	""	""	"lightyellow"	""
"GATA3.Zf..DR4"	"GATA3.Zf..DR4.iTreg.Gata3.ChIP.Seq.GSE20898..Homer"	""	""	"lightyellow"	""
"ZNF415.Zf."	"ZNF415.Zf..HEK293.ZNF415.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"HEB.bHLH."	"HEB.bHLH..mES.Heb.ChIP.Seq.GSE53233..Homer"	""	""	"lightyellow"	""
"ZNF165.Zf."	"ZNF165.Zf..WHIM12.ZNF165.ChIP.Seq.GSE65937..Homer"	""	""	"lightyellow"	""
"Unknown.Homeobox."	"Unknown.Homeobox..Limb.p300.ChIP.Seq.Homer"	""	""	"lightyellow"	""
"CHR..."	"CHR....Hela.CellCycle.Expression.Homer"	""	""	"lightyellow"	""
"T1ISRE.IRF."	"T1ISRE.IRF..ThioMac.Ifnb.Expression.Homer"	""	""	"lightyellow"	""
"ZNF322.Zf."	"ZNF322.Zf..HEK293.ZNF322.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"midnightblue"	""
"ERE.NR..IR3"	"ERE.NR..IR3.MCF7.ERa.ChIP.Seq.Unpublished..Homer"	""	""	"midnightblue"	""
"Foxh1.Forkhead."	"Foxh1.Forkhead..hESC.FOXH1.ChIP.Seq.GSE29422..Homer"	""	""	"midnightblue"	""
"Zfp809.Zf."	"Zfp809.Zf..ES.Zfp809.ChIP.Seq.GSE70799..Homer"	""	""	"midnightblue"	""
"Tcfcp2l1.CP2."	"Tcfcp2l1.CP2..mES.Tcfcp2l1.ChIP.Seq.GSE11431..Homer"	""	""	"midnightblue"	""
"PRDM9.Zf."	"PRDM9.Zf..Testis.DMC1.ChIP.Seq.GSE35498..Homer"	""	""	"midnightblue"	""
"ZNF528.Zf."	"ZNF528.Zf..HEK293.ZNF528.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"midnightblue"	""
"ZNF189.Zf."	"ZNF189.Zf..HEK293.ZNF189.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"midnightblue"	""
"REST.NRSF.Zf."	"REST.NRSF.Zf..Jurkat.NRSF.ChIP.Seq.Homer"	""	""	"midnightblue"	""
"PRDM14.Zf."	"PRDM14.Zf..H1.PRDM14.ChIP.Seq.GSE22767..Homer"	""	""	"midnightblue"	""
"GRHL2.CP2."	"GRHL2.CP2..HBE.GRHL2.ChIP.Seq.GSE46194..Homer"	""	""	"midnightblue"	""
"ZSCAN22.Zf."	"ZSCAN22.Zf..HEK293.ZSCAN22.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"midnightblue"	""
"Twist.bHLH."	"Twist.bHLH..HMLE.TWIST1.ChIP.Seq.Chang_et_al..Homer"	""	""	"midnightblue"	""
"Mouse_Recombination_Hotspot.Zf."	"Mouse_Recombination_Hotspot.Zf..Testis.DMC1.ChIP.Seq.GSE24438..Homer"	""	""	"midnightblue"	""
